,Doc,Emotions,Topics
880,N880,fear | neutral,sports | technology | environment | crime | health | entertainment | money
881,N881,anger | fear | neutral,technology | environment | crime | entertainment | money
882,N882,anger | joy | neutral,technology | environment | crime | entertainment | money
883,N883,disgust | fear | neutral,technology | environment | politics | entertainment | money
884,N884,neutral,environment | entertainment | sports
885,N885,sadness | joy | neutral,technology | environment | politics | entertainment | money
886,N886,disgust | neutral,sports | technology | environment | crime | entertainment | money
887,N887,fear | neutral,sports | environment | crime | entertainment | money
888,N888,fear | neutral,technology | environment | crime | health | entertainment | money
889,N889,sadness | neutral,technology | environment | entertainment | education | money
890,N890,fear | neutral,environment | entertainment | money | technology
891,N891,anger | sadness | neutral,sports | environment | politics | health | entertainment
892,N892,anger | neutral,technology | crime | politics | environment | health | entertainment | education | money
893,N893,neutral,technology | environment | crime | entertainment | money
894,N894,sadness | neutral,environment | entertainment | money | technology
895,N895,anger | fear | neutral,environment | entertainment | money | health
896,N896,neutral,technology | environment | politics | entertainment | money
897,N897,neutral,technology | environment | entertainment | education | money
898,N898,sadness | joy | neutral,technology | crime | environment | entertainment | education | money
899,N899,sadness | neutral,environment | entertainment | money | technology
900,N900,anger | fear | neutral,technology | environment | politics | entertainment | money
901,N901,neutral,sports | technology | crime | environment | health | entertainment | money
902,N902,neutral,sports | technology | environment | entertainment | money
903,N903,fear | neutral,environment | entertainment | money | technology
904,N904,fear | neutral,environment | entertainment | money | health
905,N905,anger | sadness | neutral,technology | environment | crime | entertainment | money
906,N906,sadness | joy | neutral,technology | environment | politics | health | entertainment | money
907,N907,neutral,technology | environment | crime | entertainment | money
908,N908,fear | joy | neutral,technology | environment | health | entertainment | money
909,N909,neutral,technology | environment | crime | entertainment | money
910,N910,anger | fear | neutral,technology | environment | crime | entertainment | education | money
911,N911,neutral,sports | technology | environment | crime | entertainment | money
912,N912,disgust | neutral,technology | environment | politics | health | entertainment | education | money
913,N913,fear | sadness | neutral,technology | environment | entertainment | education | money
914,N914,neutral,technology | environment | crime | entertainment | money
915,N915,neutral,technology | environment | crime | entertainment | money
916,N916,fear | joy | neutral,sports | technology | environment | entertainment | money
917,N917,sadness | neutral,technology | environment | crime | entertainment | money
918,N918,sadness | fear | neutral,technology | environment | crime | politics | health | entertainment | money
919,N919,joy | neutral,sports | technology | environment | politics | entertainment | money
920,N920,sadness | neutral,environment | entertainment | money | technology
921,N921,neutral,technology | environment | crime | entertainment | money
922,N922,anger | surprise | neutral,technology | environment | health | entertainment | education | money
923,N923,fear | neutral,sports | environment | crime | entertainment | education | money
924,N924,neutral,technology | environment | entertainment | education | money
925,N925,fear | joy | neutral,environment | entertainment | money | technology
926,N926,neutral,technology | crime | environment | entertainment | money
927,N927,anger | sadness | neutral,environment | crime | health | entertainment | education
928,N928,anger | sadness | fear | neutral,technology | crime | environment | health | entertainment | education
929,N929,disgust | fear | sadness | neutral,sports | environment | crime | health | entertainment | money
930,N930,disgust | fear | sadness | neutral,environment | entertainment | health
931,N931,fear | sadness | neutral,technology | environment | crime | health | entertainment | money
932,N932,fear | sadness | joy | neutral | anger,sports | technology | crime | environment | health | entertainment | education
933,N933,anger | sadness | neutral,sports | technology | crime | politics | environment | health | entertainment
934,N934,sadness | neutral,technology | environment | crime | health | entertainment
935,N935,surprise | neutral,environment | entertainment | money | crime
936,N936,disgust | fear | sadness | neutral,technology | environment | crime | politics | health | entertainment
937,N937,sadness | joy | neutral,technology | environment | crime | health | entertainment
938,N938,neutral,technology | crime | environment | health | entertainment
939,N939,disgust | sadness | surprise | joy | neutral,environment | entertainment | education | health
940,N940,disgust | sadness | surprise | neutral,environment | crime | health | entertainment | education
941,N941,joy | neutral,technology | environment | health | entertainment | money
942,N942,sadness | neutral,sports | technology | politics | environment | crime | health | entertainment | education
943,N943,anger | sadness | neutral,environment | entertainment | money | crime
944,N944,sadness | neutral,technology | environment | crime | health | entertainment | money
945,N945,disgust | fear | sadness | surprise | neutral,technology | environment | crime | health | entertainment
946,N946,neutral,sports | technology | politics | environment | health | entertainment | education
947,N947,disgust | sadness | neutral,technology | environment | crime | health | entertainment
948,N948,anger | sadness | neutral,crime | entertainment | health | environment
949,N949,anger | neutral,technology | politics | crime | environment | health | entertainment | education
950,N950,sadness | surprise | neutral,technology | environment | crime | health | entertainment | money
951,N951,anger | sadness | joy | neutral,environment | crime | health | entertainment | money
952,N952,disgust | fear | sadness | neutral | anger,sports | technology | environment | health | entertainment | money
953,N953,disgust | sadness | neutral,environment | politics | crime | health | entertainment | money
954,N954,fear | neutral,environment | entertainment | politics | crime
955,N955,disgust | sadness | fear | neutral,technology | crime | environment | health | entertainment | education
956,N956,anger | sadness | fear | neutral,crime | entertainment | environment | health
957,N957,disgust | sadness | joy | neutral | anger,technology | environment | crime | politics | health | entertainment
958,N958,sadness | neutral,environment | entertainment | money | health
959,N959,neutral,technology | crime | environment | health | entertainment
960,N960,neutral,sports | environment | health | entertainment | education
961,N961,anger | sadness | neutral,sports | technology | environment | crime | health | entertainment
962,N962,anger | sadness | neutral,sports | technology | environment | crime | entertainment
963,N963,disgust | sadness | neutral,technology | environment | health | entertainment | education
964,N964,disgust | fear | neutral,sports | crime | politics | health | entertainment
965,N965,disgust | sadness | neutral,sports | environment | crime | health | entertainment
966,N966,disgust | sadness | surprise | neutral,technology | environment | crime | politics | health | entertainment
967,N967,fear | sadness | joy | surprise | neutral | anger,sports | environment | crime | politics | health | entertainment
968,N968,anger | sadness | neutral,environment | entertainment | technology | crime
969,N969,fear | sadness | joy | neutral | anger,environment | politics | crime | health | entertainment | money
970,N970,disgust | fear | sadness | neutral,sports | environment | crime | health | entertainment
971,N971,sadness | fear | neutral,environment | entertainment | technology | health
972,N972,fear | sadness | neutral,technology | environment | crime | health | entertainment | education
973,N973,anger | sadness | neutral,technology | crime | environment | health | entertainment | education | money
974,N974,disgust | sadness | surprise | neutral,sports | environment | crime | health | entertainment
975,N975,sadness | neutral,environment | entertainment | sports | health
976,N976,disgust | neutral,technology | environment | crime | health | entertainment | education
977,N977,anger | sadness | neutral,technology | environment | crime | health | entertainment
978,N978,fear | sadness | surprise | neutral,technology | environment | crime | health | entertainment | education
979,N979,disgust | sadness | neutral,technology | environment | crime | health | entertainment
980,N980,disgust | sadness | fear | neutral,technology | crime | environment | health | entertainment | money
981,N981,sadness | fear | neutral,sports | technology | crime | environment | health | entertainment | education | money
982,N982,sadness | fear | neutral,environment | entertainment | crime | health
983,N983,sadness | neutral,technology | crime | environment | health | entertainment
984,N984,sadness | fear | neutral,technology | environment | crime | health | entertainment
985,N985,disgust | anger | neutral,technology | environment | crime | health | entertainment | money
986,N986,anger | neutral,technology | environment | politics | crime | entertainment | money
987,N987,disgust | sadness | neutral,environment | crime | health | entertainment | money
988,N988,neutral,environment | entertainment | technology | health
989,N989,anger | sadness | fear | neutral,technology | environment | politics | crime | health | entertainment | money
990,N990,anger | neutral,technology | environment | crime | health | entertainment
991,N991,neutral,sports | technology | crime | politics | environment | entertainment | money
992,N992,neutral,sports | technology | crime | environment | entertainment | education
993,N993,disgust | sadness | surprise | neutral,environment | entertainment | technology
994,N994,disgust | joy | neutral,technology | environment | health | entertainment | money
995,N995,neutral,environment | entertainment | health
996,N996,neutral,environment | entertainment | money | technology
997,N997,neutral,technology | crime | environment | health | entertainment | money
998,N998,neutral,environment | entertainment
999,N999,neutral,technology | environment | politics | crime | entertainment | education | money
1000,N1000,anger | neutral,technology | environment | crime | entertainment | money
1001,N1001,sadness | joy | neutral,environment | entertainment | sports | health
1002,N1002,neutral,politics | entertainment | environment
1003,N1003,anger | sadness | surprise | neutral,environment | crime | entertainment | education | money
1004,N1004,joy | neutral,environment | entertainment | politics
1005,N1005,joy | neutral,sports | environment | crime | entertainment | money
1006,N1006,fear | neutral,technology | environment | crime | entertainment | education
1007,N1007,surprise | neutral,politics | entertainment | environment
1008,N1008,sadness | neutral,technology | crime | environment | health | entertainment | money
1009,N1009,sadness | neutral,crime | entertainment | money | environment
1010,N1010,sadness | neutral,environment | entertainment | money | technology
1011,N1011,disgust | sadness | neutral,technology | environment | crime | entertainment | money
1012,N1012,disgust | anger | surprise | neutral,environment | entertainment | technology | crime
1013,N1013,anger | neutral,technology | environment | crime | politics | entertainment | education | money
1014,N1014,neutral,environment | entertainment | education | health
1015,N1015,neutral,technology | environment | entertainment | education | money
1016,N1016,sadness | joy | neutral,sports | technology | environment | entertainment | money
1017,N1017,surprise | neutral,technology | environment | entertainment | education | money
1018,N1018,surprise | neutral,environment | crime | politics | health | entertainment | education | money
1019,N1019,anger | neutral,environment | entertainment | crime
1020,N1020,anger | fear | neutral,environment | entertainment | crime | health
1021,N1021,sadness | joy | neutral,technology | environment | crime | entertainment | education
1022,N1022,disgust | neutral,environment | entertainment | money | health
1023,N1023,disgust | fear | sadness | joy | surprise | neutral | anger,sports | technology | environment | crime | politics | health | entertainment | education | money
1024,N1024,anger | joy | neutral,technology | crime | environment | entertainment | money
1025,N1025,neutral,technology | environment | health | entertainment | education | money
1026,N1026,disgust | fear | sadness | neutral | anger,technology | environment | politics | crime | health | entertainment
1027,N1027,sadness | neutral,technology | environment | crime | entertainment | money
1028,N1028,anger | sadness | neutral,technology | crime | environment | entertainment | education | money
1029,N1029,fear | sadness | neutral,technology | environment | health | entertainment | education
1030,N1030,sadness | neutral,sports | environment | crime | health | entertainment | money
1031,N1031,anger | fear | sadness | neutral,crime | entertainment | politics | environment
1032,N1032,disgust | sadness | neutral,environment | crime | health | entertainment | money
1033,N1033,anger | sadness | fear | neutral,technology | environment | politics | health | entertainment | money
1034,N1034,sadness | surprise | neutral,technology | environment | crime | health | entertainment
1035,N1035,disgust | joy | neutral,environment | politics | crime | entertainment | education | money
1036,N1036,disgust | sadness | neutral,technology | crime | environment | health | entertainment
1037,N1037,anger | sadness | joy | neutral,sports | technology | crime | environment | health | entertainment | money
1038,N1038,sadness | neutral,sports | technology | environment | crime | entertainment
1039,N1039,anger | sadness | joy | neutral,technology | crime | environment | entertainment | education | money
1040,N1040,sadness | fear | neutral,crime | environment | health | entertainment | education
1041,N1041,sadness | joy | neutral,environment | entertainment | crime | health
1042,N1042,sadness | neutral,sports | technology | environment | politics | health | entertainment | education
1043,N1043,disgust | sadness | neutral,environment | entertainment | technology | crime
1044,N1044,sadness | neutral,technology | environment | politics | crime | health | entertainment
1045,N1045,disgust | anger | fear | neutral,technology | environment | politics | health | entertainment | money
1046,N1046,fear | neutral,crime | politics | environment | entertainment | money
1047,N1047,anger | sadness | neutral,technology | environment | crime | entertainment | money
1048,N1048,disgust | sadness | neutral,technology | environment | crime | health | entertainment
1049,N1049,sadness | surprise | neutral,environment | entertainment | money | technology
1050,N1050,disgust | anger | sadness | neutral,environment | entertainment | crime | health
1051,N1051,sadness | neutral,sports | environment | crime | entertainment | education | money
1052,N1052,anger | sadness | neutral,environment | entertainment | crime | technology
1053,N1053,anger | sadness | surprise | neutral,sports | crime | environment | politics | health | entertainment | money
1054,N1054,anger | sadness | neutral,environment | entertainment | crime
1055,N1055,anger | sadness | neutral,environment | entertainment | sports | politics
1056,N1056,anger | neutral,environment | entertainment | crime | technology
1057,N1057,fear | sadness | neutral,politics | entertainment | crime | environment
1058,N1058,fear | surprise | neutral,environment | politics | crime | health | entertainment | money
1059,N1059,neutral,crime | entertainment | health | environment
1060,N1060,sadness | joy | neutral,politics | environment | entertainment | education | money
1061,N1061,sadness | neutral,technology | environment | health | entertainment | money
1062,N1062,fear | sadness | neutral,crime | entertainment | environment | health
1063,N1063,anger | sadness | neutral,environment | entertainment | technology | health
1064,N1064,fear | sadness | surprise | neutral,sports | politics | crime | environment | entertainment | education
1065,N1065,sadness | neutral,environment | entertainment | money | health
1066,N1066,disgust | sadness | neutral,environment | entertainment | technology
1067,N1067,disgust | fear | sadness | neutral | anger,technology | environment | crime | entertainment | education | money
1068,N1068,sadness | fear | neutral,sports | technology | crime | politics | environment | entertainment
1069,N1069,sadness | neutral,sports | technology | crime | environment | health | entertainment | education | money
1070,N1070,sadness | neutral,technology | crime | environment | entertainment | money
1071,N1071,sadness | joy | surprise | neutral | anger,technology | environment | crime | health | entertainment
1072,N1072,fear | sadness | neutral,crime | entertainment | politics | environment
1073,N1073,sadness | neutral,environment | entertainment | money | technology
1074,N1074,sadness | fear | neutral | surprise,sports | environment | crime | health | entertainment
1075,N1075,sadness | neutral,environment | entertainment | crime
1076,N1076,anger | sadness | neutral,technology | environment | crime | health | entertainment | money
1077,N1077,disgust | anger | fear | neutral,sports | crime | environment | health | entertainment | education | money
1078,N1078,neutral,environment | health | entertainment | education | money
1079,N1079,disgust | neutral,sports | technology | environment | crime | health | entertainment
1080,N1080,disgust | neutral,sports | technology | environment | crime | health | entertainment | education | money
1081,N1081,disgust | anger | neutral,sports | technology | environment | crime | health | entertainment | education
1082,N1082,sadness | neutral,environment | politics | health | entertainment | education
1083,N1083,disgust | neutral,technology | crime | environment | health | entertainment
1084,N1084,sadness | surprise | neutral,technology | environment | crime | health | entertainment | education
1085,N1085,anger | sadness | fear | neutral,technology | crime | environment | health | entertainment | education
1086,N1086,fear | sadness | neutral | surprise,technology | crime | environment | health | entertainment | education
1087,N1087,disgust | sadness | fear | neutral,sports | technology | environment | crime | health | entertainment
1088,N1088,sadness | neutral,sports | technology | environment | crime | health | entertainment | education
1089,N1089,disgust | fear | sadness | neutral | anger,technology | environment | crime | health | entertainment | education
1090,N1090,neutral,sports | technology | environment | crime | entertainment | education | money
1091,N1091,anger | fear | neutral,technology | environment | crime | health | entertainment | education | money
1092,N1092,anger | neutral,sports | technology | environment | crime | health | entertainment | education | money
1093,N1093,surprise | neutral,crime | environment | health | entertainment | education
1094,N1094,sadness | neutral,environment | crime | health | entertainment | education | money
1095,N1095,disgust | sadness | neutral,environment | entertainment | technology | health
1096,N1096,disgust | neutral,sports | technology | environment | crime | health | entertainment | education | money
1097,N1097,fear | sadness | neutral,technology | environment | crime | health | entertainment | education
1098,N1098,fear | joy | neutral,technology | environment | health | entertainment | education | money
1099,N1099,sadness | neutral,technology | environment | crime | health | entertainment
1100,N1100,anger | neutral,environment | entertainment | money | technology
1101,N1101,disgust | sadness | fear | neutral,technology | environment | crime | health | entertainment
1102,N1102,neutral,technology | environment | politics | entertainment | education | money
1103,N1103,sadness | neutral,technology | environment | health | entertainment | education
1104,N1104,neutral,environment | entertainment | politics | technology
1105,N1105,neutral,technology | environment | health | entertainment | education | money
1106,N1106,neutral,technology | environment | entertainment | education | money
1107,N1107,disgust | sadness | neutral,environment | crime | health | entertainment | education | money
1108,N1108,anger | sadness | neutral,technology | environment | crime | health | entertainment | money
1109,N1109,sadness | neutral,technology | environment | health | entertainment | education
1110,N1110,fear | sadness | neutral,environment | crime | health | entertainment | education
1111,N1111,fear | neutral,technology | environment | politics | health | entertainment | education
1112,N1112,anger | neutral,sports | technology | environment | politics | crime | entertainment | education
1113,N1113,disgust | sadness | fear | neutral,technology | environment | health | entertainment | education | money
1114,N1114,sadness | joy | neutral,technology | environment | crime | health | entertainment | education
1115,N1115,disgust | fear | neutral,sports | technology | crime | environment | politics | health | entertainment | education | money
1116,N1116,disgust | sadness | neutral,sports | technology | environment | health | entertainment
1117,N1117,disgust | neutral,sports | technology | environment | crime | health | entertainment | education
1118,N1118,anger | fear | sadness | neutral,sports | technology | environment | crime | health | entertainment | education | money
1119,N1119,fear | sadness | neutral,technology | crime | environment | health | entertainment | education
1120,N1120,fear | sadness | neutral,technology | environment | crime | politics | health | entertainment | education
1121,N1121,sadness | neutral,technology | environment | health | entertainment | money
1122,N1122,disgust | sadness | neutral,technology | environment | health | entertainment | education
1123,N1123,disgust | anger | sadness | neutral,environment | entertainment | crime | health
1124,N1124,disgust | sadness | neutral,technology | crime | environment | health | entertainment | money
1125,N1125,disgust | fear | sadness | neutral | anger,environment | entertainment | education | health
1126,N1126,anger | fear | surprise | neutral,technology | environment | entertainment | education | money
1127,N1127,sadness | fear | neutral,sports | technology | environment | health | entertainment | money
1128,N1128,anger | neutral,technology | environment | crime | politics | entertainment | education
1129,N1129,fear | neutral,technology | crime | environment | health | entertainment | education | money
1130,N1130,anger | joy | neutral,technology | environment | politics | health | entertainment | education | money
1131,N1131,disgust | joy | neutral,technology | environment | crime | politics | entertainment | education
1132,N1132,disgust | sadness | neutral,technology | crime | environment | health | entertainment | education | money
1133,N1133,disgust | sadness | neutral,technology | crime | environment | health | entertainment
1134,N1134,sadness | fear | neutral,sports | technology | crime | environment | health | entertainment
1135,N1135,sadness | fear | neutral,sports | technology | environment | crime | health | entertainment | education
1136,N1136,fear | sadness | neutral,sports | technology | environment | crime | health | entertainment | education
1137,N1137,fear | sadness | neutral,sports | technology | environment | crime | health | entertainment | money
1138,N1138,sadness | neutral,technology | environment | crime | health | entertainment | money
1139,N1139,fear | joy | neutral,sports | technology | environment | crime | health | entertainment | education
1140,N1140,sadness | neutral,technology | environment | crime | entertainment | money
1141,N1141,disgust | sadness | neutral,technology | environment | health | entertainment | education
1142,N1142,joy | neutral,technology | environment | crime | health | entertainment | money
1143,N1143,anger | fear | neutral,technology | crime | environment | politics | health | entertainment | money
1144,N1144,sadness | joy | neutral,environment | crime | health | entertainment | money
1145,N1145,neutral,technology | environment | politics | crime | entertainment | money
1146,N1146,anger | sadness | neutral,technology | environment | health | entertainment | education
1147,N1147,sadness | neutral,technology | environment | crime | politics | health | entertainment | education
1148,N1148,neutral,environment | entertainment | sports | technology
1149,N1149,neutral,environment | entertainment | money | technology
1150,N1150,neutral,technology | environment | crime | health | entertainment
1151,N1151,anger | neutral,technology | environment | politics | crime | health | entertainment | money
1152,N1152,fear | neutral,environment | entertainment | money | technology
1153,N1153,fear | neutral,sports | technology | environment | politics | crime | entertainment | education
1154,N1154,neutral,sports | technology | environment | crime | entertainment | education
1155,N1155,anger | neutral,crime | entertainment | technology | environment
1156,N1156,surprise | neutral,environment | entertainment | crime | technology
1157,N1157,disgust | neutral,technology | environment | health | entertainment | money
1158,N1158,disgust | sadness | neutral,technology | environment | crime | health | entertainment | money
1159,N1159,anger | neutral,sports | technology | environment | crime | health | entertainment
1160,N1160,sadness | fear | neutral,technology | environment | crime | health | entertainment | money
1161,N1161,fear | joy | neutral,environment | entertainment | education | technology
1162,N1162,surprise | neutral,technology | environment | crime | entertainment | money
1163,N1163,disgust | sadness | neutral,technology | environment | crime | health | entertainment
1164,N1164,disgust | neutral,technology | environment | health | entertainment | money
1165,N1165,fear | neutral,environment | entertainment | money | technology
1166,N1166,neutral,technology | environment | health | entertainment | education | money
1167,N1167,anger | neutral,sports | technology | environment | crime | health | entertainment | education | money
1168,N1168,anger | neutral,environment | entertainment | technology | crime
1169,N1169,anger | sadness | neutral,technology | politics | environment | health | entertainment | education | money
1170,N1170,fear | joy | neutral | surprise,sports | technology | environment | entertainment | education
1171,N1171,anger | sadness | neutral,environment | entertainment | politics | technology
1172,N1172,surprise | neutral,technology | environment | entertainment | education | money
1173,N1173,disgust | neutral,technology | environment | health | entertainment | money
1174,N1174,sadness | neutral,environment | entertainment | technology
1175,N1175,sadness | neutral,technology | environment | health | entertainment | money
1176,N1176,sadness | neutral,sports | technology | environment | health | entertainment | education
1177,N1177,disgust | fear | sadness | joy | surprise | neutral | anger,sports | technology | politics | environment | entertainment | money
1178,N1178,fear | surprise | neutral,sports | technology | environment | politics | entertainment | education | money
1179,N1179,disgust | fear | neutral,technology | environment | health | entertainment | education
1180,N1180,anger | neutral,technology | environment | politics | crime | health | entertainment
1181,N1181,neutral,environment | entertainment | technology
1182,N1182,sadness | fear | neutral,technology | environment | crime | health | entertainment | money
1183,N1183,fear | neutral,sports | technology | environment | crime | entertainment | education | money
1184,N1184,sadness | neutral,technology | environment | crime | health | entertainment | education | money
1185,N1185,disgust | fear | surprise | neutral,technology | environment | crime | entertainment | education
1186,N1186,disgust | anger | neutral,sports | technology | environment | crime | entertainment | money
1187,N1187,fear | surprise | neutral,technology | environment | crime | entertainment | money
1188,N1188,fear | sadness | neutral,sports | technology | environment | politics | entertainment | education | money
1189,N1189,sadness | neutral,environment | entertainment | technology | health
1190,N1190,anger | neutral,technology | environment | crime | health | entertainment | education | money
1191,N1191,anger | neutral,technology | environment | politics | crime | entertainment | money
1192,N1192,neutral,technology | politics | environment | entertainment | education | money
1193,N1193,sadness | neutral,politics | entertainment | health | environment
1194,N1194,fear | sadness | joy | neutral,environment | entertainment | crime | technology
1195,N1195,neutral,sports | technology | politics | environment | entertainment
1196,N1196,disgust | neutral,technology | environment | politics | crime | entertainment | money
1197,N1197,sadness | joy | neutral,environment | entertainment
1198,N1198,anger | neutral,technology | environment | crime | entertainment | education | money
1199,N1199,neutral,technology | environment | politics | health | entertainment
1200,N1200,joy | neutral,technology | politics | environment | entertainment | education
1201,N1201,sadness | neutral,technology | environment | health | entertainment | money
1202,N1202,disgust | neutral,environment | entertainment | crime | technology
1203,N1203,joy | neutral,technology | politics | environment | health | entertainment
1204,N1204,anger | sadness | neutral,technology | politics | crime | environment | entertainment | money
1205,N1205,neutral,technology | environment | politics | entertainment | education | money
1206,N1206,neutral,technology | politics | environment | health | entertainment
1207,N1207,anger | neutral,technology | environment | crime | entertainment | money
1208,N1208,anger | sadness | neutral,sports | technology | environment | politics | entertainment | money
1209,N1209,anger | fear | neutral,sports | technology | environment | crime | entertainment
1210,N1210,fear | sadness | neutral,technology | environment | politics | entertainment | money
1211,N1211,disgust | joy | neutral,technology | environment | politics | crime | health | entertainment | money
1212,N1212,fear | surprise | neutral,environment | entertainment | crime
1213,N1213,anger | neutral,technology | environment | politics | crime | entertainment | money
1214,N1214,disgust | sadness | joy | neutral,technology | environment | crime | entertainment | education
1215,N1215,anger | sadness | surprise | neutral,technology | environment | crime | health | entertainment | money
1216,N1216,joy | neutral,technology | environment | politics | crime | entertainment | education | money
1217,N1217,anger | fear | neutral,environment | entertainment | technology | crime
1218,N1218,disgust | anger | sadness | neutral,technology | environment | politics | crime | entertainment
1219,N1219,disgust | neutral,technology | environment | crime | politics | entertainment | money
1220,N1220,disgust | surprise | neutral,technology | environment | crime | politics | health | entertainment | money
1221,N1221,disgust | sadness | joy | neutral,technology | environment | politics | crime | health | entertainment | money
1222,N1222,disgust | neutral,technology | environment | politics | crime | health | entertainment | education | money
1223,N1223,anger | neutral,technology | environment | crime | politics | entertainment | money
1224,N1224,fear | joy | neutral,sports | technology | environment | politics | entertainment | education
1225,N1225,sadness | neutral,technology | environment | politics | crime | entertainment | money
1226,N1226,disgust | fear | neutral,technology | politics | crime | environment | entertainment | money
1227,N1227,sadness | neutral,technology | environment | politics | entertainment | money
1228,N1228,anger | sadness | neutral,technology | environment | politics | health | entertainment
1229,N1229,sadness | joy | neutral,sports | technology | politics | crime | environment | entertainment | money
1230,N1230,disgust | sadness | neutral,technology | environment | crime | politics | entertainment | money
1231,N1231,disgust | neutral,environment | politics | crime | entertainment | money
1232,N1232,disgust | anger | neutral,technology | environment | crime | health | entertainment
1233,N1233,fear | sadness | joy | neutral,technology | environment | politics | crime | entertainment
1234,N1234,sadness | neutral,technology | politics | crime | environment | entertainment | education
1235,N1235,disgust | neutral,technology | environment | crime | politics | entertainment | money
1236,N1236,anger | neutral,environment | entertainment | politics | technology
1237,N1237,sadness | neutral,technology | environment | crime | health | entertainment | money
1238,N1238,anger | neutral,sports | technology | environment | politics | entertainment
1239,N1239,disgust | anger | fear | neutral,sports | technology | environment | politics | crime | entertainment
1240,N1240,sadness | neutral,environment | politics | crime | entertainment | education | money
1241,N1241,disgust | anger | surprise | neutral,sports | technology | environment | politics | crime | health | entertainment
1242,N1242,anger | fear | neutral,technology | environment | crime | entertainment | money
1243,N1243,joy | neutral,technology | environment | politics | health | entertainment | education
1244,N1244,disgust | sadness | joy | neutral,technology | politics | environment | entertainment | money
1245,N1245,anger | sadness | neutral,environment | entertainment | politics
1246,N1246,anger | sadness | neutral,technology | environment | politics | crime | entertainment
1247,N1247,anger | neutral,sports | technology | environment | crime | politics | entertainment | money
1248,N1248,fear | neutral,technology | environment | politics | health | entertainment
1249,N1249,anger | neutral,technology | environment | crime | entertainment | money
1250,N1250,surprise | neutral,sports | technology | environment | entertainment | money
1251,N1251,neutral,technology | environment | crime | entertainment | money
1252,N1252,neutral,environment | entertainment | money | technology
1253,N1253,disgust | fear | joy | neutral | anger,technology | environment | entertainment | education | money
1254,N1254,anger | neutral,technology | crime | environment | entertainment | money
1255,N1255,disgust | sadness | surprise | neutral | anger,technology | environment | health | entertainment | education | money
1256,N1256,anger | fear | sadness | neutral,technology | crime | environment | entertainment | money
1257,N1257,sadness | fear | neutral,technology | environment | crime | entertainment | education | money
1258,N1258,fear | sadness | surprise | neutral,technology | environment | health | entertainment | education
1259,N1259,anger | neutral,environment | entertainment | sports | technology
1260,N1260,disgust | sadness | joy | neutral | anger,environment | entertainment | money | crime
1261,N1261,neutral,technology | environment | crime | entertainment | money
1262,N1262,anger | neutral,technology | environment | politics | crime | entertainment | money
1263,N1263,neutral,technology | environment | crime | entertainment | money
1264,N1264,fear | sadness | neutral,technology | environment | entertainment | education | money
1265,N1265,joy | neutral,sports | technology | environment | entertainment | education | money
1266,N1266,sadness | neutral,technology | environment | crime | health | entertainment | money
1267,N1267,sadness | fear | neutral,environment | entertainment | money | crime
1268,N1268,fear | sadness | neutral,crime | environment | health | entertainment | money
1269,N1269,sadness | fear | neutral,crime | environment | health | entertainment | money
1270,N1270,disgust | anger | surprise | neutral,sports | environment | politics | crime | health | entertainment
1271,N1271,disgust | sadness | joy | neutral,environment | crime | health | entertainment | education
1272,N1272,disgust | surprise | neutral,environment | entertainment | money | health
1273,N1273,anger | sadness | neutral,environment | entertainment | politics | technology
1274,N1274,joy | neutral,technology | environment | politics | health | entertainment | education
1275,N1275,disgust | sadness | neutral,environment | entertainment | crime
1276,N1276,disgust | neutral,sports | environment | politics | health | entertainment | education | money
1277,N1277,sadness | neutral,sports | technology | environment | crime | entertainment | education | money
1278,N1278,disgust | joy | neutral,sports | politics | environment | crime | entertainment | money
1279,N1279,disgust | anger | neutral,technology | environment | politics | crime | health | entertainment | money
1280,N1280,fear | neutral,sports | technology | environment | crime | health | entertainment | money
1281,N1281,neutral,sports | technology | environment | health | entertainment | money
1282,N1282,anger | sadness | fear | neutral,technology | environment | crime | health | entertainment
1283,N1283,sadness | neutral,technology | environment | crime | health | entertainment | money
1284,N1284,disgust | anger | joy | neutral,crime | entertainment | money | environment
1285,N1285,fear | sadness | neutral,sports | technology | environment | crime | health | entertainment | money
1286,N1286,sadness | surprise | neutral,technology | crime | environment | health | entertainment | money
1287,N1287,disgust | sadness | joy | neutral | anger,environment | entertainment | crime
1288,N1288,sadness | joy | neutral,environment | entertainment | money | technology
1289,N1289,sadness | neutral,sports | technology | environment | health | entertainment
1290,N1290,anger | fear | neutral,sports | technology | crime | environment | entertainment | money
1291,N1291,disgust | neutral,sports | technology | environment | crime | entertainment | money
1292,N1292,fear | surprise | neutral,technology | environment | crime | entertainment | money
1293,N1293,anger | sadness | surprise | neutral,environment | entertainment | money | technology
1294,N1294,anger | sadness | neutral,environment | crime | health | entertainment | money
1295,N1295,neutral,sports | technology | crime | environment | entertainment | education | money
1296,N1296,anger | sadness | neutral,technology | crime | environment | health | entertainment | money
1297,N1297,anger | sadness | joy | neutral,technology | crime | politics | environment | health | entertainment | education
1298,N1298,neutral,sports | technology | environment | health | entertainment | money
1299,N1299,anger | neutral,technology | environment | crime | health | entertainment | money
1300,N1300,sadness | joy | neutral,environment | entertainment | crime | technology
1301,N1301,neutral,sports | environment | politics | crime | health | entertainment | money
1302,N1302,anger | fear | joy | neutral,technology | environment | health | entertainment | education | money
1303,N1303,anger | sadness | joy | neutral,technology | environment | crime | health | entertainment
1304,N1304,sadness | fear | neutral | joy,technology | environment | health | entertainment | education | money
